,LOW,MID,HIGH,LST,MST,HST
0.1,0.37062183,0.418436479,0.466251128,0.008382349,0.015548477,0.013772954
0.2,0.350429334,0.398786391,0.447143448,0.008229417,0.017237473,0.013748991
0.3,0.331196357,0.37947683,0.427757302,0.008285777,0.015945804,0.013741221
0.4,0.310514737,0.357825746,0.405136756,0.008299184,0.026550226,0.013715758
0.5,0.293164055,0.340543944,0.387923833,0.008329496,0.017185133,0.013732431
0.6,0.272270439,0.321271303,0.370272166,0.008348002,0.016576708,0.013706851
0.7,0.251088232,0.300411276,0.34973432,0.008370297,0.020577184,0.013968812
0.8,0.232108823,0.281713705,0.331318587,0.008369431,0.021911542,0.013949755
0.9,0.211717711,0.261403379,0.311089047,0.008284993,0.01773507,0.013776038
