,LOW,MID,HIGH,LST,MST,HST
0.1,0.48,0.55,0.62,0.012184887,0.01039845,0.013423555
0.2,0.45,0.52,0.59,0.012454932,0.010379183,0.012270454
0.3,0.43,0.5,0.57,0.012339944,0.010248551,0.012282743
0.4,0.4,0.47,0.54,0.011906974,0.010208273,0.012245836
0.5,0.38,0.45,0.52,0.011592833,0.010178053,0.012249776
0.6,0.35,0.42,0.49,0.011901825,0.010183018,0.012341668
0.7,0.33,0.38,0.45,0.010893131,0.010141959,0.012538979
0.8,0.3,0.35,0.4,0.010917307,0.010138069,0.013433081
0.9,0.26,0.3,0.35,0.011095722,0.010124153,0.013438156
