,LOW,MID,HIGH,LST,MST,HST
0.1,0.214086644,0.390178199,0.4450058,0.005405449,0.010678121,0.01089496
0.2,0.203898639,0.381985707,0.438058649,0.004513095,0.010486684,0.012743051
0.3,0.187148792,0.372377173,0.42450058,0.004579145,0.010809017,0.011060137
0.4,0.171487925,0.360759635,0.413811808,0.005179002,0.010309808,0.012152192
0.5,0.165869763,0.350868519,0.401175342,0.005229645,0.010813823,0.010197842
0.6,0.157148792,0.338406112,0.39109146,0.004406439,0.011027456,0.012400706
0.7,0.146654291,0.323032218,0.384693736,0.004640557,0.011057863,0.013154965
0.8,0.136147613,0.312816071,0.37471674,0.005852979,0.010742243,0.012033894
0.9,0.127714087,0.299719764,0.367452578,0.00419533,0.010749407,0.011739611
