,LOW,MID,HIGH,LST,MST,HST
0.1,0.217843055,0.360428282,0.490043477,0.011054535,0.013502668,0.012159373
0.2,0.218925742,0.361032464,0.490208559,0.011909973,0.012536331,0.014929676
0.3,0.218531989,0.361401583,0.490255542,0.009101755,0.012413931,0.012273751
0.4,0.219471044,0.361528786,0.491240391,0.015937765,0.010537437,0.012271461
0.5,0.219502533,0.360701846,0.491371957,0.011361074,0.010336812,0.012165757
0.6,0.219763561,0.360563568,0.491931844,0.010510743,0.010654273,0.01390683
0.7,0.219507096,0.360929034,0.492163894,0.010975585,0.009104226,0.020442577
0.8,0.219263574,0.361504141,0.492706022,0.012772062,0.009448724,0.014598925
0.9,0.218232951,0.362353393,0.492876378,0.014006141,0.010774756,0.016220062
