,LOW,MID,HIGH,LST,MST,HST
0.1,0.502206019,0.593482618,0.684759216,0.010124153,0.014048051,0.013588456
0.2,0.492481997,0.574208141,0.655934285,0.008116513,0.013784185,0.013507636
0.3,0.48890964,0.562083949,0.635258257,0.009049753,0.013212951,0.010976756
0.4,0.475812298,0.54285599,0.609899681,0.007381575,0.012140891,0.013432186
0.5,0.468449409,0.528052063,0.587654717,0.009138228,0.011480929,0.0137564
0.6,0.458118765,0.504845214,0.551571663,0.013642302,0.011986531,0.012387142
0.7,0.447979362,0.483059339,0.518139316,0.008971723,0.012286639,0.011515382
0.8,0.437840762,0.45965192,0.481463079,0.009689054,0.01257968,0.011229723
0.9,0.42758123,0.447492782,0.467404335,0.007881652,0.012685446,0.012269322
