,LOW,MID,HIGH,LST,MST,HST
0.1,0.411717711,0.461403379,0.511089047,0.007288347,0.007288347,0.007021534
0.2,0.432108823,0.481713705,0.531318587,0.008638096,0.009812712,0.009812712
0.3,0.451088232,0.500411276,0.54973432,0.008335786,0.008294002,0.008988005
0.4,0.472270439,0.521271303,0.570272166,0.009066637,0.009594998,0.010067149
0.5,0.493164055,0.540543944,0.587923833,0.009434276,0.010822796,0.010200504
0.6,0.510514737,0.557825746,0.605136756,0.010353372,0.011607395,0.017592877
0.7,0.531196357,0.57947683,0.627757302,0.012106261,0.011522774,0.016692122
0.8,0.550429334,0.598786391,0.647143448,0.013327708,0.013002813,0.017998064
0.9,0.57062183,0.618436479,0.666251128,0.008348766,0.009560641,0.014095741
