,LOW,MID,HIGH,LST,MST,HST
0.1,0.292702267,0.432653344,0.503856937,0.010505904,0.002408748,0.002924171
0.2,0.308950068,0.454196348,0.548547334,0.064174084,0.007775703,0.046887838
0.3,0.330393852,0.471522025,0.58581268,0.034839009,0.007261554,0.034247584
0.4,0.35041711,0.497672905,0.621853051,0.013484599,0.005809825,0.012375762
0.5,0.374282478,0.514618776,0.662975543,0.004624097,0.013263868,0.013958334
0.6,0.401925291,0.53709442,0.6963685,0.005580941,0.015992311,0.01215982
0.7,0.433043602,0.555928584,0.731462387,0.004593626,0.015124215,0.01505951
0.8,0.456238165,0.578091239,0.75313825,0.004372375,0.01134566,0.015175247
0.9,0.47731242,0.594797338,0.780472354,0.004364827,0.012873575,0.015327646
