,LOW,MID,HIGH,LST,MST,HST
0.1,0.327714087,0.499719764,0.567452578,0.00541105,0.010678121,0.010727896
0.2,0.336147613,0.512816071,0.57471674,0.004509517,0.010486684,0.01273936
0.3,0.346654291,0.523032218,0.584693736,0.004594587,0.008087413,0.011139964
0.4,0.357148792,0.538406112,0.59109146,0.005181837,0.010309808,0.012087715
0.5,0.365869763,0.550868519,0.601175342,0.005241643,0.010813823,0.010243613
0.6,0.371487925,0.560759635,0.613811808,0.004770188,0.011027456,0.012399377
0.7,0.387148792,0.572377173,0.62450058,0.004593558,0.011057863,0.013154965
0.8,0.403898639,0.581985707,0.638058649,0.005856752,0.010742243,0.012017248
0.9,0.414086644,0.590178199,0.6450058,0.004198125,0.010749407,0.01166696
