,LOW,MID,HIGH,LST,MST,HST
0.1,0.367843055,0.510428282,0.640043477,0.012648,0.008749879,0.011172
0.2,0.368925742,0.511032464,0.640208559,0.012537,0.008167791,0.011288
0.3,0.368531989,0.511401583,0.640255542,0.012497,0.007808305,0.011601
0.4,0.369471044,0.511528786,0.641240391,0.012456,0.010307941,0.0116
0.5,0.369502533,0.510701846,0.641371957,0.012386,0.010975519,0.011554
0.6,0.369763561,0.510563568,0.641931844,0.012415,0.011636169,0.011597
0.7,0.369507096,0.510929034,0.642163894,0.01241,0.010900037,0.011721
0.8,0.369263574,0.511504141,0.642706022,0.012515,0.010615641,0.011731
0.9,0.368232951,0.512353393,0.642876378,0.012446,0.011985069,0.011756
